Nominal Composition,Product  Form,Spec. No.,"UNS
No.",100,150,200,250,300,400,500,600,650,700,750,800,850,900,950,1000,1050,1100,1150,1200,1250,1300,1350,1400,1450,1500,1550,1600,1650,,,
Carbon steel,Wld.  tube,SA-557-A2,k01807,11400.00,11400.00,11400.00,#VALUE!,11400.00,11400.00,11400.00,11300.00,10900.00,10500.00,9100.00,7800.00,6700.00,5000.00,3400.00,2100.00,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,
Carbon steel,Wld.  pipe,SA-53-E/A,k02504,11700.00,#VALUE!,11700.00,#VALUE!,11700.00,11700.00,11700.00,11700.00,11700.00,10600.00,9100.00,7700.00,6100.00,4300.00,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,
Carbon steel,Wld.  pipe,SA-53-E/A,k02504,13700.00,#VALUE!,13700.00,#VALUE!,13700.00,13700.00,13700.00,13700.00,13700.00,12500.00,10700.00,9000.00,7100.00,5000.00,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,
Carbon steel,Wld.  pipe,SA-53-E/A,k02504,11700.00,11700.00,11700.00,#VALUE!,11700.00,11700.00,11700.00,11700.00,11700.00,10600.00,9100.00,7900.00,6700.00,5500.00,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,
Carbon steel,Wld.  pipe,SA-53-F/A,,8200.00,#VALUE!,8200.00,#VALUE!,8200.00,8200.00,8200.00,8200.00,8200.00,7500.00,6400.00,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,
Carbon steel,Smls.  pipe,SA-53-S/A,k02504,13700.00,#VALUE!,13700.00,#VALUE!,13700.00,13700.00,13700.00,13700.00,13700.00,12500.00,10700.00,9000.00,7100.00,5000.00,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,
Carbon steel,Smls.  pipe,SA-53-S/A,k02504,13700.00,13700.00,13700.00,#VALUE!,13700.00,13700.00,13700.00,13700.00,13700.00,12500.00,10700.00,9300.00,7900.00,6500.00,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,
Carbon steel,Smls.  pipe,SA-106-A,k02501,13700.00,13700.00,13700.00,#VALUE!,13700.00,13700.00,13700.00,13700.00,13700.00,12500.00,10700.00,9300.00,7900.00,6500.00,4500.00,2500.00,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,
Carbon steel,Wld.  pipe,SA-135-A,,11700.00,11700.00,11700.00,#VALUE!,11700.00,11700.00,11700.00,11700.00,11700.00,10600.00,9100.00,7900.00,6700.00,5500.00,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,
Carbon steel,Forged  pipe,SA-369-FPA,k02501,13700.00,#VALUE!,13700.00,#VALUE!,13700.00,13700.00,13700.00,13700.00,13700.00,12500.00,10700.00,9000.00,7100.00,5000.00,3000.00,1500.00,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,
