Nominal Composition,Product  Form,Spec. No.,"UNS
No.",100,150,200,250,300,400,500,600,650,700,750,800,850,900,950,1000,1050,1100,1150,1200,1250,1300,1350,1400,1450,1500,1550,1600,1650,,,
1/2Cr–1/5Mo,Forgings,SA-372-H,K13547,24300.00,#VALUE!,24300.00,#VALUE!,24300.00,24300.00,24300.00,24300.00,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,
1/2Cr–1/5Mo,Forgings,SA-372-G,K13049,30000.00,#VALUE!,30000.00,#VALUE!,30000.00,30000.00,30000.00,30000.00,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,
1/2Cr–1/5Mo,Forgings,SA-372-H,K13547,30000.00,#VALUE!,30000.00,#VALUE!,30000.00,30000.00,30000.00,30000.00,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,
1/2Cr–1/5Mo,Forgings,SA-372-G,K13049,34300.00,#VALUE!,34300.00,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,
1/2Cr–1/5Mo,Forgings,SA-372-H,K13547,34300.00,#VALUE!,34300.00,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,
1/2Cr–1/5Mo–V,Plate,SA-517-B,K11630,32900.00,#VALUE!,32900.00,32900.00,32900.00,32900.00,32900.00,32900.00,32800.00,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,
1/2Cr–1/4Mo–Si,Plate,SA-517-A,K11856,32900.00,#VALUE!,32900.00,32900.00,32900.00,32900.00,32900.00,32900.00,32800.00,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,
1/2Cr–1/4Mo–Si,Forgings,SA-592-A,K11856,32900.00,#VALUE!,32900.00,#VALUE!,32900.00,32900.00,32900.00,32900.00,32800.00,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,
1/2Cr–1/2Mo,Smls.  pipe,SA-335-P2,K11547,15700.00,#VALUE!,15700.00,#VALUE!,15700.00,15700.00,15700.00,15700.00,15700.00,15700.00,15400.00,14900.00,14500.00,13900.00,9200.00,5900.00,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,
1/2Cr–1/2Mo,Forged  pipe,SA-369-FP2,K11547,15700.00,#VALUE!,15700.00,#VALUE!,15700.00,15700.00,15700.00,15700.00,15700.00,15700.00,15400.00,14900.00,14500.00,13900.00,9200.00,5900.00,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,
1/2Cr–1/2Mo,Plate,SA-387-2,K12143,15700.00,#VALUE!,15700.00,#VALUE!,15700.00,15700.00,15700.00,15700.00,15700.00,15700.00,15700.00,15700.00,15300.00,14300.00,9200.00,5900.00,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,
1/2Cr–1/2Mo,Wld.  pipe,SA-691-1/2CR,K12143,15700.00,#VALUE!,15700.00,#VALUE!,15700.00,15700.00,15700.00,15700.00,15700.00,15700.00,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,
1/2Cr–1/2Mo,Wld.  pipe,SA-691-1/2CR,K12143,15700.00,#VALUE!,15700.00,#VALUE!,15700.00,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,
1/2Cr–1/2Mo,Smls.  tube,SA-213-T2,K11547,17100.00,#VALUE!,17100.00,#VALUE!,17100.00,17100.00,16900.00,16400.00,16100.00,15700.00,15400.00,14900.00,14500.00,13900.00,9200.00,5900.00,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,
1/2Cr–1/2Mo,Wld.  tube,SA-250-T2,K11547,14500.00,#VALUE!,14500.00,#VALUE!,14500.00,14500.00,14400.00,13900.00,13700.00,13300.00,13100.00,12700.00,12300.00,11800.00,7800.00,5000.00,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,
1/2Cr–1/2Mo,Wld.  tube,SA-250-T2S1,K11547,17100.00,#VALUE!,17100.00,#VALUE!,17100.00,17100.00,16900.00,16400.00,16100.00,15700.00,15400.00,14900.00,14500.00,13900.00,9200.00,5900.00,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,
1/2Cr–1/2Mo,Cast  pipe,SA-426-CP2,J11547,17100.00,#VALUE!,17100.00,#VALUE!,17100.00,17100.00,16900.00,16400.00,16100.00,15700.00,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,
1/2Cr–1/2Mo,Forgings,SA-182-F2,K12122,20000.00,#VALUE!,20000.00,#VALUE!,20000.00,20000.00,20000.00,20000.00,20000.00,20000.00,20000.00,19900.00,19300.00,18600.00,9200.00,5900.00,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,
1/2Cr–1/2Mo,Plate,SA-387-2,K12143,20000.00,20000.00,20000.00,#VALUE!,20000.00,20000.00,20000.00,20000.00,20000.00,20000.00,20000.00,20000.00,19500.00,18600.00,9200.00,5900.00,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,
1/2Cr–1/2Mo,Wld.  pipe,SA-691-1/2CR,K12143,20000.00,#VALUE!,20000.00,#VALUE!,20000.00,20000.00,20000.00,20000.00,20000.00,20000.00,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,
3/4Cr–1/2Ni–Cu,Smls.  &  wld.  tube,SA-423-1,K11535,17100.00,#VALUE!,17100.00,#VALUE!,17100.00,17100.00,17100.00,17100.00,17100.00,17100.00,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,
3/4Cr–1/2Ni–Cu,Wld.  tube,SA-423-1,K11535,14600.00,#VALUE!,14600.00,#VALUE!,14600.00,14600.00,14600.00,14600.00,14600.00,14600.00,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,
3/4Cr–3/4Ni–Cu–Al,Pipe,SA-333-4,K11267,17100.00,17100.00,17100.00,#VALUE!,17100.00,17100.00,17100.00,17100.00,17100.00,17100.00,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,
1Cr–1/5Mo,Forgings,SA-372-E,K13047,24300.00,#VALUE!,24300.00,#VALUE!,24300.00,24300.00,24300.00,24300.00,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,
1Cr–1/5Mo,Forgings,SA-372-F,G41350,24300.00,#VALUE!,24300.00,#VALUE!,24300.00,24300.00,24300.00,24300.00,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,
1Cr–1/5Mo,Forgings,SA-372-J,K13548,24300.00,#VALUE!,24300.00,#VALUE!,24300.00,24300.00,24300.00,24300.00,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,
1Cr–1/5Mo,Forgings,SA-372-E,K13047  65,30000.00,#VALUE!,30000.00,#VALUE!,30000.00,30000.00,30000.00,30000.00,29800.00,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,
1Cr–1/5Mo,Forgings,SA-372-F,G41350  65,30000.00,#VALUE!,30000.00,#VALUE!,30000.00,30000.00,30000.00,30000.00,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,
1Cr–1/5Mo,Forgings,SA-372-J,K13548  65,30000.00,#VALUE!,30000.00,#VALUE!,30000.00,30000.00,30000.00,30000.00,29800.00,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,
1Cr–1/5Mo,Forgings,SA-372-E,K13047  70,34300.00,34300.00,34300.00,#VALUE!,34300.00,34300.00,34300.00,34300.00,34100.00,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,
1Cr–1/5Mo,Forgings,SA-372-F,G41350  70,34300.00,#VALUE!,33300.00,#VALUE!,32600.00,32300.00,32200.00,31800.00,30600.00,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,
1Cr–1/5Mo,Forgings,SA-372-J,K13548  70,34300.00,#VALUE!,34300.00,#VALUE!,34300.00,34300.00,34300.00,34300.00,34100.00,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,
1Cr–1/5Mo,Forgings,SA-372-J,G41370  110,38500.00,#VALUE!,36900.00,#VALUE!,36700.00,36500.00,36100.00,35900.00,34300.00,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,
1Cr–1/2Mo,Plate,SA-387-12,K11757  1,15700.00,#VALUE!,15400.00,#VALUE!,15100.00,15100.00,15100.00,15100.00,15100.00,15100.00,15100.00,15100.00,15100.00,14700.00,11300.00,7200.00,4500.00,2800.00,1800.00,1100.00,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,
1Cr–1/2Mo,Wld.  pipe,SA-691-1CR,K11757  ,15700.00,#VALUE!,15400.00,#VALUE!,15100.00,15100.00,15100.00,15100.00,15100.00,15100.00,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,
1Cr–1/2Mo,Cast  pipe,SA-426-CP12,J11562   ,17100.00,#VALUE!,16800.00,#VALUE!,16500.00,16200.00,15700.00,15200.00,15000.00,14800.00,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,
1Cr–1/2Mo,Forgings,SA-182-F12,K11562  1,17100.00,17100.00,16800.00,#VALUE!,16500.00,16500.00,16500.00,16300.00,16000.00,15800.00,15500.00,15300.00,14900.00,14500.00,11300.00,7200.00,4500.00,2800.00,1800.00,1100.00,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,
1Cr–1/2Mo,Smls.  tube,SA-213-T12,K11562  ,17100.00,#VALUE!,16800.00,#VALUE!,16500.00,16500.00,16500.00,16300.00,16000.00,15800.00,15500.00,15300.00,14900.00,14500.00,11300.00,7200.00,4500.00,2800.00,1800.00,1100.00,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,
1Cr–1/2Mo,Smls.  &  wld.  fittings,SA-234-WP12,K12062  1,17100.00,#VALUE!,16800.00,#VALUE!,16500.00,16500.00,16500.00,16300.00,16000.00,15800.00,15500.00,15300.00,14900.00,14500.00,11300.00,7200.00,4500.00,2800.00,1800.00,1100.00,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,
1Cr–1/2Mo,Wld.  tube,SA-250-T12,K11562  ,14500.00,14500.00,14300.00,#VALUE!,14000.00,14000.00,14000.00,13800.00,13600.00,13400.00,13200.00,13000.00,12700.00,12300.00,9600.00,6100.00,3800.00,2400.00,1500.00,940.00,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,
1Cr–1/2Mo,Wld.  tube,SA-250-T12S1,K11562  ,17100.00,17100.00,16800.00,#VALUE!,16500.00,16500.00,16500.00,16300.00,16000.00,15800.00,15500.00,15300.00,14900.00,14500.00,11300.00,7200.00,4500.00,2800.00,1800.00,1100.00,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,
1Cr–1/2Mo,Smls.  pipe,SA-335-P12,K11562  ,17100.00,#VALUE!,16800.00,#VALUE!,16500.00,16500.00,16500.00,16300.00,16000.00,15800.00,15500.00,15300.00,14900.00,14500.00,11300.00,7200.00,4500.00,2800.00,1800.00,1100.00,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,
1Cr–1/2Mo,Forged  pipe,SA-369-FP12,K11562  ,17100.00,#VALUE!,16800.00,#VALUE!,16500.00,16500.00,16500.00,16300.00,16000.00,15800.00,15500.00,15300.00,14900.00,14500.00,11300.00,7200.00,4500.00,2800.00,1800.00,1100.00,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,
1Cr–1/2Mo,Forgings,SA/EN10222-2-13CrMo4-5,,17400.00,#VALUE!,17200.00,#VALUE!,16700.00,16600.00,16600.00,16600.00,16600.00,16600.00,16600.00,16600.00,16300.00,15800.00,11300.00,7200.00,4500.00,2800.00,1800.00,1100.00,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,
1Cr–1/2Mo,Plate,SA/EN10028-2-13CrMo4-5,,17400.00,17200.00,17100.00,16900.00,16800.00,16800.00,16700.00,16700.00,16700.00,16700.00,16700.00,16700.00,16500.00,16100.00,11300.00,7200.00,4500.00,2800.00,1800.00,1100.00,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,
1Cr–1/2Mo,Plate,SA/EN10028-2-13CrMo4-5,,17800.00,17700.00,17500.00,17300.00,17200.00,17200.00,17100.00,17100.00,17100.00,17100.00,17100.00,17100.00,17000.00,16700.00,11300.00,7200.00,4500.00,2800.00,1800.00,1100.00,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,
1Cr–1/2Mo,Plate,SA/GB713-15CrMoR,,18200.00,#VALUE!,17900.00,#VALUE!,17600.00,17600.00,17100.00,16600.00,16400.00,16100.00,15900.00,15500.00,15200.00,14800.00,11300.00,7200.00,4500.00,2800.00,1800.00,1100.00,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,
1Cr–1/2Mo,Forgings,SA/EN10222-2-13CrMo4-5,,18200.00,#VALUE!,18000.00,#VALUE!,17500.00,17400.00,17400.00,17400.00,17400.00,17400.00,17400.00,17400.00,17300.00,16900.00,11300.00,7200.00,4500.00,2800.00,1800.00,1100.00,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,
1Cr–1/2Mo,Plate,SA/EN10028-2-13CrMo4-5,,18200.00,18100.00,17900.00,17700.00,17600.00,17600.00,17500.00,17500.00,17500.00,17500.00,17500.00,17500.00,17400.00,17100.00,11300.00,7200.00,4500.00,2800.00,1800.00,1100.00,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,
1Cr–1/2Mo,Forgings,SA/EN10222-2-13CrMo4-5,,18200.00,#VALUE!,18000.00,#VALUE!,17500.00,17400.00,17400.00,17400.00,17400.00,17400.00,17400.00,17400.00,17300.00,16900.00,11300.00,7200.00,4500.00,2800.00,1800.00,1100.00,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,
1Cr–1/2Mo,Smls.  tube,SA/EN10216-2-13CrMo4-5,,18200.00,#VALUE!,18200.00,#VALUE!,18200.00,18200.00,18200.00,18200.00,18200.00,18200.00,18200.00,18200.00,17700.00,17000.00,11300.00,7200.00,4500.00,2800.00,1900.00,1200.00,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,
1Cr–1/2Mo,Forgings,SA/EN10222-2-13CrMo4-5,,18200.00,#VALUE!,18000.00,#VALUE!,17500.00,17400.00,17400.00,17400.00,17400.00,17400.00,17400.00,17400.00,17300.00,16900.00,11300.00,7200.00,4500.00,2800.00,1800.00,1100.00,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,
1Cr–1/2Mo,Smls.  tube,SA/EN10216-2-13CrMo4-5,,18200.00,#VALUE!,18200.00,#VALUE!,18200.00,18200.00,18200.00,18200.00,18200.00,18200.00,18200.00,18200.00,17700.00,17000.00,11300.00,7200.00,4500.00,2800.00,1900.00,1200.00,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,
1Cr–1/2Mo,Forgings,SA/EN10222-2-13CrMo4-5,,18200.00,#VALUE!,18000.00,#VALUE!,17500.00,17400.00,17400.00,17400.00,17400.00,17400.00,17400.00,17400.00,17300.00,16900.00,11300.00,7200.00,4500.00,2800.00,1800.00,1100.00,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,
1Cr–1/2Mo,Plate,SA-387,,18600.00,18600.00,18200.00,#VALUE!,17900.00,17900.00,17900.00,17900.00,17900.00,17900.00,17900.00,17900.00,17900.00,17400.00,11300.00,7200.00,4500.00,2800.00,1800.00,1100.00,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,
1Cr–1/2Mo,Wld.  pipe,SA-691,,18600.00,#VALUE!,18200.00,#VALUE!,17900.00,17900.00,17900.00,17900.00,17900.00,17900.00,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,
1Cr–1/2Mo,Plate,SA/GB713,,18600.00,#VALUE!,18300.00,#VALUE!,18000.00,18000.00,17900.00,17900.00,17900.00,17900.00,17900.00,17900.00,17700.00,17100.00,11300.00,7200.00,4500.00,2800.00,1800.00,1100.00,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,
1Cr–1/2Mo,Plate,SA/EN10028-2,,18600.00,18500.00,18300.00,18100.00,18000.00,18000.00,17900.00,17900.00,17900.00,17900.00,17900.00,17900.00,17800.00,17500.00,11300.00,7200.00,4500.00,2800.00,1800.00,1100.00,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,
1Cr–1/2Mo,Plate,SA/GB713,,18600.00,#VALUE!,18300.00,#VALUE!,18000.00,18000.00,17900.00,17900.00,17900.00,17900.00,17900.00,17900.00,17700.00,17100.00,11300.00,7200.00,4500.00,2800.00,1800.00,1100.00,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,
1Cr–1/2Mo,Plate,SA/EN10028-2,,18600.00,18500.00,18300.00,18100.00,18000.00,18000.00,17900.00,17900.00,17900.00,17900.00,17900.00,17900.00,17800.00,17500.00,11300.00,7200.00,4500.00,2800.00,1800.00,1100.00,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,
1Cr–1/2Mo,Forgings,SA-182-F12,K11564  2,20000.00,#VALUE!,19600.00,#VALUE!,19200.00,19200.00,19200.00,19200.00,19200.00,19200.00,19200.00,19100.00,18600.00,18000.00,11300.00,7200.00,4500.00,2800.00,1800.00,1100.00,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,
1Cr–1/2Mo,Forgings,SA-336-F12,K11564  ,20000.00,20000.00,19600.00,#VALUE!,19200.00,19200.00,19200.00,19200.00,19200.00,19200.00,19200.00,19100.00,18600.00,18000.00,11300.00,7200.00,4500.00,2800.00,1800.00,1100.00,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,
1Cr–V,Smls.  tube,SA-213-T17,K12047  ,17100.00,17100.00,17100.00,#VALUE!,17100.00,16800.00,16200.00,15700.00,15400.00,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,
11/4Cr–1/2Mo,Castings,SA-217-WC6,J12072   ,20000.00,#VALUE!,20000.00,#VALUE!,20000.00,20000.00,20000.00,20000.00,20000.00,20000.00,19700.00,19200.00,18700.00,13700.00,9300.00,6300.00,4200.00,2800.00,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,
11/4Cr–1/2Mo,Cast  pipe,SA-426-CP11,J12072   ,20000.00,#VALUE!,20000.00,#VALUE!,20000.00,20000.00,20000.00,20000.00,20000.00,20000.00,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,
